2016-12-23 13:14:57,827 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,827 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,827 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,827 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,827 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,827 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,827 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,827 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,827 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,828 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,829 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:14:57,829 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:31:14,667 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 13:31:14,667 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 13:31:14,667 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
